GEOID17,observations,network,species
53057,0.49151475,AQS,SO2
53073,5.35602475,AQS,SO2
54009,3.0175786842105263,AQS,SO2
54029,2.50064664,AQS,SO2
54039,0.7658893999999999,AQS,SO2
54051,1.7419552,AQS,SO2
54053,2.3639555,AQS,SO2
54057,5.6612393999999995,AQS,SO2
54061,0.7438254,AQS,SO2
54107,2.0745252,AQS,SO2
55009,0.4796796,AQS,SO2
55025,0.8466163999999999,AQS,SO2
55027,0.2361084,AQS,SO2
55041,0.22710740000000001,AQS,SO2
55079,0.3118908,AQS,SO2
55085,1.4293674,AQS,SO2
55087,2.7511242,AQS,SO2
56001,0.2938074,AQS,SO2
56005,0.5974894,AQS,SO2
56007,2.6909245,AQS,SO2
56009,0.60340025,AQS,SO2
56013,5.1576585,AQS,SO2
56021,0.3636184,AQS,SO2
56025,0.8797882,AQS,SO2
56033,0.3065176,AQS,SO2
56037,1.4839326315789474,AQS,SO2
56045,0.5448174,AQS,SO2
72021,1.9874056,AQS,SO2
72033,0.7836794,AQS,SO2
72057,1.2300254,AQS,SO2
72123,1.4570902,AQS,SO2
01073,1.3244433333333334,AQS,SO4
01079,1.148575,AQS,SO4
01113,0.996129,AQS,SO4
02013,0.552667,AQS,SO4
02068,0.259796,AQS,SO4
02090,1.4545,AQS,SO4
02122,0.328195,AQS,SO4
02170,0.245888,AQS,SO4
04001,0.448531,AQS,SO4
04003,0.651,AQS,SO4
04005,0.4152655,AQS,SO4
04007,0.622795,AQS,SO4
04013,0.768893,AQS,SO4
04015,0.465697,AQS,SO4
04017,0.43313,AQS,SO4
04019,0.683881,AQS,SO4
04023,0.711434,AQS,SO4
04025,0.547571,AQS,SO4
05101,1.084159,AQS,SO4
05113,1.271534,AQS,SO4
05119,1.28188,AQS,SO4
06007,0.530164,AQS,SO4
06015,0.433325,AQS,SO4
06017,0.3549195,AQS,SO4
06019,0.7820223333333334,AQS,SO4
06025,1.135246,AQS,SO4
06027,0.409851,AQS,SO4
06029,0.9513773333333333,AQS,SO4
06037,1.072248,AQS,SO4
06041,0.67338,AQS,SO4
06043,0.515652,AQS,SO4
06051,0.33965,AQS,SO4
06059,1.123833,AQS,SO4
06063,0.427419,AQS,SO4
06065,1.00493975,AQS,SO4
06067,0.62062,AQS,SO4
06069,0.554158,AQS,SO4
06071,0.7427793333333333,AQS,SO4
06073,0.993917,AQS,SO4
06083,0.649458,AQS,SO4
06085,0.648348,AQS,SO4
06089,0.298873,AQS,SO4
06093,0.251026,AQS,SO4
06099,0.91,AQS,SO4
06105,0.332587,AQS,SO4
06107,1.075263,AQS,SO4
08001,0.540667,AQS,SO4
08003,0.315092,AQS,SO4
08031,0.528152,AQS,SO4
08057,0.316664,AQS,SO4
08067,0.339342,AQS,SO4
08069,0.354902,AQS,SO4
08083,0.357097,AQS,SO4
08097,0.265195,AQS,SO4
08103,0.322556,AQS,SO4
08111,0.308101,AQS,SO4
08123,0.477869,AQS,SO4
09005,0.691271,AQS,SO4
09009,0.722203,AQS,SO4
10003,0.893056,AQS,SO4
11001,1.069583,AQS,SO4
12011,1.105072,AQS,SO4
12017,1.227693,AQS,SO4
12057,1.164035,AQS,SO4
12073,0.897018,AQS,SO4
12086,1.229476,AQS,SO4
12129,1.184376,AQS,SO4
13021,1.001017,AQS,SO4
13049,1.151772,AQS,SO4
13069,0.804262,AQS,SO4
13089,0.939746,AQS,SO4
13115,1.118361,AQS,SO4
13213,0.976826,AQS,SO4
13215,0.94623,AQS,SO4
13245,0.935424,AQS,SO4
13295,0.958689,AQS,SO4
15001,1.800179,AQS,SO4
15003,0.942523,AQS,SO4
15009,0.482287,AQS,SO4
16001,0.367345,AQS,SO4
16023,0.272891,AQS,SO4
16037,0.219393,AQS,SO4
17019,1.195533,AQS,SO4
17031,0.9954086666666667,AQS,SO4
17043,1.3345,AQS,SO4
17119,1.085273,AQS,SO4
18019,1.231167,AQS,SO4
18037,1.3985,AQS,SO4
18065,1.184407,AQS,SO4
18089,1.180328,AQS,SO4
18097,1.203636,AQS,SO4
18163,1.339508,AQS,SO4
19137,0.960805,AQS,SO4
19163,0.863913,AQS,SO4
19177,0.991992,AQS,SO4
20017,1.0579,AQS,SO4
20173,1.022295,AQS,SO4
20195,0.781518,AQS,SO4
20209,1.011667,AQS,SO4
21061,1.2188375,AQS,SO4
21111,1.182232,AQS,SO4
22033,1.552521,AQS,SO4
22071,1.263387,AQS,SO4
23003,0.543948,AQS,SO4
23005,0.647265,AQS,SO4
23009,0.470227,AQS,SO4
23019,0.604036,AQS,SO4
