geo_name,lon,lat,country,census_id,pop_tot,pop_30plus
ANGOLA_NAMIBE_NAMIBE,12.457905307074512,-14.720315334187738,Angola,0138,344337,80679
ANGOLA_NAMIBE_TÔMBWA,12.359284305310362,-16.564898961646183,Angola,0139,65320,14720
ANGOLA_NAMIBE_VIREI,12.94168325673447,-15.813548331274848,Angola,0140,38195,11047
ANGOLA_UÍGE_AMBUILA,14.468179065511844,-7.587449047134571,Angola,0141,21325,6556
ANGOLA_UÍGE_BEMBE,14.277664721920273,-7.052417289665407,Angola,0142,38790,13342
ANGOLA_UÍGE_BUENGAS,15.825059286515511,-6.668373974646913,Angola,0143,67387,16920
ANGOLA_UÍGE_BUNGO,15.447113463583449,-7.392017748161813,Angola,0144,43733,12188
ANGOLA_UÍGE_CANGOLA,15.953541847191238,-7.839972087285049,Angola,0145,63234,17802
ANGOLA_UÍGE_DAMBA,15.216117046210005,-6.730711730495686,Angola,0146,78241,26347
ANGOLA_UÍGE_MAQUELA DO ZOMBO,15.504832114047753,-6.115762646049738,Angola,0147,149905,47802
ANGOLA_UÍGE_SANTA CRUZ,16.58039852859364,-7.043057290518152,Angola,0148,59555,15207
ANGOLA_UÍGE_MUCABA,15.044844983137867,-7.104479137048426,Angola,0149,51761,14842
ANGOLA_UÍGE_NEGAGE,15.387803110685544,-7.82670187011252,Angola,0150,161920,40789
ANGOLA_UÍGE_PURI,15.677588319493356,-7.6520448609471,Angola,0151,44624,12804
ANGOLA_UÍGE_QUIMBELE,16.358827373391733,-6.339946266586419,Angola,0152,160665,43204
ANGOLA_UÍGE_QUITEXE,14.916309357718397,-8.05805649608166,Angola,0153,40373,10964
ANGOLA_UÍGE_SANZA POMBO,16.05132046706061,-7.225080931426597,Angola,0154,80501,21853
ANGOLA_UÍGE_SONGO,14.789371774574954,-7.15444085578491,Angola,0155,72605,21347
ANGOLA_UÍGE_UÍGE,15.086269927234868,-7.569389383460002,Angola,0156,611138,145638
ANGOLA_ZAIRE_CUIMBA,14.656648047034412,-6.211094387740501,Angola,0157,81450,25701
