lon,lat,grid_area,emissions
14.125,-20.375,723308416,0
14.125,-20.125,724473728,0
14.125,-19.875,725625152,0
14.125,-19.625,726762816,0
14.125,-19.375,727886656,0
14.125,-19.125,728996608,0
14.125,-18.875,730092672,0
14.125,-18.625,731174848,0
14.125,-18.375,732243136,0
14.125,-18.125,733297408,0
14.125,-17.875,734337792,0
14.125,-17.625,735364160,0
14.125,-17.375,736376512,0
14.125,-17.125,737374912,0
14.125,-16.875,738359232,3.055987064827314
14.125,-16.625,739329472,23.218015463435346
14.125,-16.375,740285632,131.18351378298883
14.125,-16.125,741227776,7.04281832636441
14.125,-15.875,742155712,81.2834759916506
14.125,-15.625,743069568,204.6460326860206
14.125,-15.375,743969280,98.3540127355756
14.125,-15.125,744854848,2.1148975196818056
14.125,-14.875,745726144,8.231773784218785
14.125,-14.625,746583360,19.06293516958093
14.125,-14.375,747426304,42.36818352421934
14.125,-14.125,748254976,207.04479617308613
14.125,-13.875,749069440,1112.2153828664896
14.125,-13.625,749869696,2094.3785324926
14.125,-13.375,750655616,1865.3610673053852
14.125,-13.125,751427264,251.8666608033371
14.125,-12.875,752184576,1127.0399764403169
14.125,-12.625,752927616,2172.488627033661
14.125,-12.375,753656256,1641.0062286368664
14.125,-12.125,754370624,1363.3100528895934
14.125,-11.875,755070592,2093.074176460712
14.125,-11.625,755756160,719.5149682467217
14.125,-11.375,756427392,1062.972366243976
14.125,-11.125,757084160,1088.538730169947
14.125,-10.875,757726592,1378.07789676568
14.125,-10.625,758354560,1462.8861562853485
14.125,-10.375,758968064,835.018866278701
14.125,-10.125,759567104,388.7570473277869
14.125,-9.875,760151744,332.63229829380526
14.125,-9.625,760721920,1445.1847798557399
14.125,-9.375,761277568,688.8743934195014
14.125,-9.125,761818688,1327.749175328933
14.125,-8.875,762345408,1116.9969186219912
14.125,-8.625,762857536,3468.6506469913757
14.125,-8.375,763355136,1422.494248372727
14.125,-8.125,763838272,1634.562475417353
14.125,-7.875,764306816,1283.87448592031
14.125,-7.625,764760768,808.324259268397
14.125,-7.375,765200256,1575.9184808565776
14.125,-7.125,765625088,1590.32459553386
14.125,-6.875,766035392,1625.7465540548626
14.125,-6.625,766431104,1031.9935660579636
14.125,-6.375,766812224,1956.6141870963152
14.125,-6.125,767178752,1885.2676706624181
14.125,-5.875,767530624,1513.2947420705243
14.125,-5.625,767867968,2282.3029841392727
14.125,-5.375,768190656,1693.8612201824408
14.125,-5.125,768498688,2201.429064738426
14.125,-4.875,768792128,687.7844019917684
14.125,-4.625,769070912,370.4654438974982
14.125,-4.375,769335040,873.103401388425
14.125,-4.125,769584512,1625.2863462582254
