Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Ecuador,68.08326648,71.54191326,87.59217469,91.57555373,110.9035755,152.1856027,191.0419022,249.0787061,324.4857303,457.5105896,635.5326195,871.2267746,1105.577162,871.7736497,242.0376378,,1024.03007,1289.887736,5530.146858,6820.034594
Egypt,422.7520485,430.0852497,479.4347125,518.7023003,777.1929077,1272.994321,1744.239723,2542.876612,2522.571746,2367.545172,2333.641348,1984.090058,1393.400827,534.5884297,181.3276048,,10778.86189,13079.37792,19505.44306,32584.82098
El Salvador,31.60906598,36.19068722,43.79513422,51.49604321,67.9427299,82.08303167,105.3060212,136.5233362,169.3651152,249.0674366,323.1016363,414.4777238,458.5651038,294.4780488,298.1581848,,209.3392065,287.2525357,2762.159299,3049.411835
Equatorial Guinea,11.97615855,12.19187989,11.95867308,13.83062582,16.19033008,19.34292231,23.57541558,32.76359034,34.67628508,42.90033631,52.44666213,44.978618,31.70129255,14.99746272,6.342812407,,143.9623793,184.2749529,369.8730649,554.1480178
Eritrea,195.2898765,196.9150018,229.3976783,294.5318217,351.6280424,401.4165404,459.9269698,519.2950207,461.6231158,498.7684056,507.1356149,360.7630208,187.2005945,62.64923829,16.03915223,,2190.806381,2810.964739,4742.580094,7553.544833
Estonia,2.072681683,4.22014296,5.470767929,8.387482695,12.54265596,15.74772641,22.60236849,24.01983655,24.4674134,18.66932376,30.18562514,34.33837312,40.65956237,29.98593728,8.872347192,,4.864290264,7.648101747,282.2422449,289.8903466
Eswatini,27.15809411,33.63657406,42.14258269,52.36383707,55.21554724,51.75682713,53.11530994,66.83862945,64.96183586,62.71658506,56.69103243,42.99040697,24.24760661,9.281348889,2.764893535,,351.0656459,422.9815903,645.881111,1068.862701
Ethiopia,685.116887,628.6094531,684.1533543,834.3748489,920.2027161,1171.190519,1479.345385,2210.190365,2694.460083,3706.121519,4572.995885,4095.295681,2500.85358,1043.066865,383.8428838,,29840.66293,33160.58873,27609.82003,60770.40876
Fiji,6.591861274,7.281889522,9.427528805,7.793183149,9.820029651,15.07391846,19.08609579,22.18004292,20.62348922,21.91823672,23.0053569,21.59928045,15.35314819,5.708815451,1.285234562,,66.04391738,88.96774079,206.7481111,295.7158519
Finland,0.926577574,1.259139138,1.8057378,2.686931631,4.320185616,8.595513271,13.85303914,24.81068596,43.9889183,62.84713608,81.88584031,124.817914,180.0226235,181.6318444,114.8915934,,1.390119087,3.176096281,848.3436801,851.5197764
France,17.58013156,25.86159246,40.41412,58.23791387,105.3867476,164.2777455,274.7181774,457.7077177,701.8839321,942.0418331,1557.939898,3338.692788,6450.233501,7800.717308,4647.795597,,43.17680562,73.75087354,26583.489,26657.23987
Gabon,14.84590573,16.53224925,20.21215463,27.0288573,37.0134181,49.14327864,66.09713013,83.35255092,81.25202786,88.10366085,105.7364601,102.3176017,77.06599791,35.61787719,15.13194975,,140.7542048,178.5324805,819.45112,997.9836005
Gambia,24.74753271,23.14142043,27.71162359,32.72146586,42.30639358,57.04552604,70.32082559,93.43144311,116.6862079,146.7384639,195.928141,176.0894252,95.48400683,35.96427893,12.14283851,,477.1521055,563.899681,1150.459593,1714.359274
Georgia,9.174210305,10.53213545,13.70398992,20.2732154,27.05622786,37.13215806,55.94086626,67.42890144,83.15146741,80.04235792,171.5658358,170.8916169,106.62912,70.35469744,43.32524062,,60.71352966,81.93127964,967.2020408,1049.13332
