PTB,95% UI,
1.23680085,1.002644209,1.584323638
1.23710765,1.00266819,1.585037279
1.237409141,1.002687874,1.585744111
1.237710632,1.002707563,1.586450934
1.238012123,1.002727259,1.587157748
1.238313614,1.002746962,1.587864552
1.238615105,1.002770034,1.588572599
1.238916596,1.002793111,1.589280639
1.239218087,1.002816192,1.589988673
1.239519578,1.002839278,1.5906967
1.239821069,1.002862368,1.591404721
1.24012256,1.002885462,1.592112735
1.240418569,1.002904129,1.592813705
1.240714579,1.002922802,1.593514665
1.241010588,1.002941482,1.594215616
1.241306598,1.002960168,1.594916558
1.241602608,1.002982332,1.595729772
1.241898617,1.0030045,1.596542978
1.242194627,1.003026673,1.597356174
1.242490637,1.00304885,1.598169362
1.242786646,1.003071032,1.598982541
1.243082656,1.003093218,1.599795711
1.24337301,1.003110845,1.600601592
1.243663364,1.003128479,1.601407461
1.243953718,1.00314612,1.602213316
1.244244072,1.003163766,1.603019159
1.244534426,1.003185,1.60359804
1.24482478,1.003206237,1.604176916
1.245115134,1.003227479,1.604755788
1.245405488,1.003248726,1.605334655
1.245695842,1.003269976,1.605913519
1.245986196,1.003291232,1.606492378
1.24627072,1.003307798,1.607063715
1.246555244,1.00332437,1.607635046
1.246839767,1.003340949,1.608206371
1.247124291,1.003357534,1.608777689
1.247408815,1.003377815,1.609319468
1.247693339,1.0033981,1.609861243
1.247977863,1.00341839,1.610403014
1.248262387,1.003438683,1.610944782
1.248546911,1.003458982,1.611486546
1.248831435,1.003479284,1.612028306
1.249109954,1.003494767,1.61256231
1.249388472,1.003510256,1.613096309
1.249666991,1.003525751,1.613630302
1.249945509,1.003541253,1.61416429
1.250224028,1.003560559,1.61468693
1.250502546,1.003579871,1.615209566
1.250781065,1.003599186,1.615732199
1.251059583,1.003618506,1.616254829
1.251338102,1.003637831,1.616777455
1.25161662,1.003657159,1.617300077
1.251888957,1.003671536,1.617814708
1.252161294,1.00368592,1.618329333
1.252433631,1.00370031,1.618843953
1.252705967,1.003714706,1.619358568
1.252978304,1.003733017,1.619862015
1.253250641,1.003751332,1.620365458
1.253522978,1.003769651,1.620868897
1.253795315,1.003787975,1.621372334
1.254067651,1.003806304,1.621875767
1.254339988,1.003824636,1.622379197
1.254605966,1.003837885,1.622874398
1.254871943,1.003851141,1.623369594
1.255137921,1.003864403,1.623864785
1.255403899,1.003877671,1.624359972
1.255669876,1.003894963,1.624844169
1.255935854,1.00391226,1.625328364
1.256201832,1.003929562,1.625812556
1.256467809,1.003946867,1.626296745
1.256733787,1.003964177,1.62678093
1.256999765,1.003981492,1.627265113
1.257259205,1.00399359,1.627740828
1.257518646,1.004005695,1.628216539
1.257778086,1.004017806,1.628692246
1.258037527,1.004029923,1.629167948
1.258296967,1.004046176,1.629887956
1.258556408,1.004062432,1.630607955
1.258815848,1.004078693,1.631327945
1.259075288,1.004094958,1.632047926
1.259334729,1.004111228,1.632767899
1.259594169,1.004127502,1.633487863
1.259846894,1.004138428,1.634199108
1.26009962,1.00414936,1.63491034
1.260352345,1.004160298,1.635621559
1.26060507,1.004171243,1.636332766
1.260857795,1.004186434,1.637191211
1.26111052,1.004201628,1.638049644
1.261363245,1.004216827,1.638908064
1.26161597,1.00423203,1.639766473
1.261868695,1.004247238,1.640624869
1.26212142,1.00426245,1.641483253
1.262367252,1.004272182,1.642332656
1.262613083,1.00428192,1.643182041
1.262858915,1.004291665,1.644031409
1.263104747,1.004301416,1.644880758
1.263350578,1.004315523,1.645720068
1.26359641,1.004329635,1.646559367
1.263842241,1.004343751,1.647398653
1.264088073,1.004357871,1.648237927
1.264333904,1.004371995,1.649077189
1.264579736,1.004386124,1.649916438
1.264818496,1.004394641,1.650746446
1.265057256,1.004403165,1.651576436
1.265296016,1.004411695,1.652406408
1.265534776,1.004420231,1.653236362
1.265773535,1.004443873,1.653970748
1.266012295,1.004467518,1.654705123
1.266251055,1.004491168,1.655439488
1.266489815,1.004514822,1.656173843
1.266728575,1.004538479,1.656908188
1.266967335,1.004562141,1.657642523
1.267198845,1.004580059,1.65836736
1.267430355,1.004597983,1.659092183
1.267661865,1.004615913,1.65981699
1.267893375,1.004633849,1.660541782
1.268124885,1.004661525,1.661134608
1.268356395,1.004689205,1.661727426
1.268587905,1.004716889,1.662320237
1.268819415,1.004744577,1.662913041
1.269050925,1.004772269,1.663505838
1.269282436,1.004799964,1.664098628
1.269506518,1.004821784,1.664681671
1.2697306,1.00484361,1.665264703
1.269954682,1.004865441,1.665847725
1.270178764,1.004887277,1.666430736
1.270402846,1.004914715,1.667006255
1.270626928,1.004942157,1.667581767
1.27085101,1.004969602,1.668157272
1.271075092,1.004997051,1.668732771
1.271299174,1.005024503,1.669308262
1.271523256,1.005051959,1.669883746
1.271739732,1.005073408,1.670449232
1.271956208,1.005094862,1.671014709
1.272172684,1.005116322,1.671580174
1.27238916,1.005137787,1.67214563
1.272605636,1.005164985,1.672702849
1.272822112,1.005192187,1.673260061
1.273038588,1.005219392,1.673817267
1.273255064,1.0052466,1.674374465
1.27347154,1.005273812,1.674931657
1.273688016,1.005301028,1.675488842
1.273896708,1.005322105,1.676035778
1.274105399,1.005343186,1.676582704
1.274314091,1.005364273,1.67712962
1.274522782,1.005385366,1.677676526
1.274731474,1.005412322,1.678248113
1.274940166,1.005439282,1.678819693
1.275148857,1.005466245,1.679391265
1.275357549,1.005493212,1.67996283
1.275566241,1.005520183,1.680534387
1.275774932,1.005547157,1.681105936
1.275975662,1.005567859,1.681666984
1.276176391,1.005588567,1.68222802
1.27637712,1.00560928,1.682789045
1.276577849,1.005629998,1.683350059
1.276778578,1.005656711,1.683922538
1.276979308,1.005683428,1.684495008
1.277180037,1.005710148,1.685067471
1.277380766,1.005736872,1.685639926
1.277581495,1.005763599,1.686212372
1.277782225,1.005790329,1.686784811
1.277974818,1.00581066,1.687346499
1.278167411,1.005830996,1.687908176
1.278360004,1.005851336,1.688469841
1.278552598,1.005871682,1.689031494
1.278745191,1.005869866,1.689575143
1.278937784,1.005868054,1.690118785
1.279130378,1.005866245,1.690662419
1.279322971,1.005864441,1.691206045
1.279515564,1.005862641,1.691749664
1.279708157,1.005860845,1.692293275
1.279892455,1.005852533,1.692825906
1.280076753,1.005844228,1.693358526
1.28026105,1.005835928,1.693891135
1.280445348,1.005827635,1.694423732
1.280629645,1.005814591,1.694937666
1.280813943,1.005801552,1.695451593
1.280998241,1.005788516,1.695965513
1.281182538,1.005775485,1.696479425
1.281366836,1.005762459,1.696993331
1.281551133,1.005749436,1.697507229
1.28172696,1.005729771,1.698009897
1.281902786,1.005710111,1.698512554
1.282078612,1.005690459,1.699015201
1.282254438,1.005670812,1.699517836
1.282430265,1.005657547,1.699982077
1.282606091,1.005644285,1.700446311
1.282781917,1.005631028,1.700910538
1.282957743,1.005617775,1.70137476
1.283133569,1.005604527,1.701838975
1.283309396,1.005591282,1.702303184
1.283476573,1.005571265,1.702755912
1.283643751,1.005551254,1.703208631
1.283810928,1.00553125,1.703661341
1.283978106,1.005511252,1.704114041
1.284145283,1.005497749,1.704440312
1.28431246,1.00548425,1.704766579
1.284479638,1.005470755,1.705092843
1.284646815,1.005457264,1.705419105
1.284813993,1.005443777,1.705745363
1.28498117,1.005430294,1.706071619
1.285139522,1.00540991,1.706386152
1.285297873,1.005389532,1.706700682
1.285456224,1.00536916,1.707015207
1.285614575,1.005348794,1.707329727
1.285772927,1.00533505,1.707637609
1.285931278,1.00532131,1.707945488
1.286089629,1.005307574,1.708253364
1.28624798,1.005293842,1.708561237
1.286406332,1.005280113,1.708869108
1.286564683,1.005266388,1.709176976
1.286714046,1.005245646,1.7094729
1.286863409,1.005224909,1.70976882
1.287012773,1.005204177,1.710064735
1.287162136,1.005183452,1.710360647
1.287311499,1.005169695,1.71069731
1.287460862,1.005155941,1.711033968
1.287610225,1.005142191,1.711370623
1.287759589,1.005128445,1.711707273
1.287908952,1.005114702,1.71204392
1.288058315,1.005100963,1.712380563
1.288198635,1.005080172,1.712705179
1.288338955,1.005059387,1.713029788
1.288479275,1.005038607,1.713354392
1.288619595,1.005017833,1.71367899
1.288759915,1.005029207,1.714024146
1.288900235,1.005040584,1.714369298
1.289040555,1.005051964,1.714714445
1.289180875,1.005063346,1.715059587
1.289321195,1.005074732,1.715404725
1.289461514,1.00508612,1.715749859
1.289592698,1.00509039,1.71608283
1.289723882,1.005094665,1.716415794
1.289855065,1.005098943,1.716748751
1.289986249,1.005103226,1.717081702
1.290117433,1.005102868,1.717398983
1.290248616,1.005102513,1.71771626
1.2903798,1.00510216,1.718033533
1.290510984,1.005101811,1.718350802
1.290642167,1.005101464,1.718668066
1.290773351,1.005101121,1.718985327
1.290895569,1.0050938,1.719290643
1.291017788,1.005086483,1.719595953
1.291140006,1.005079171,1.719901257
1.291262225,1.005071863,1.720206555
1.291384443,1.005058562,1.720495286
1.291506662,1.005045265,1.720784013
1.29162888,1.00503197,1.721072737
1.291751099,1.005018679,1.721361457
1.291873317,1.005005391,1.721650173
1.291995536,1.004992106,1.721938886
1.29210871,1.004971789,1.722215541
1.292221884,1.004951477,1.72249219
1.292335059,1.00493117,1.722768834
1.292448233,1.004910868,1.723045472
1.292561407,1.004901142,1.72333736
1.292674582,1.00489142,1.723629245
1.292787756,1.0048817,1.723921125
1.29290093,1.004871982,1.724213001
1.293014105,1.004862268,1.724504874
1.293127279,1.004852556,1.724796742
1.293231414,1.004835824,1.725076549
1.29333555,1.004819097,1.72535635
1.293439685,1.004802373,1.725636145
1.293543821,1.004785653,1.725915935
1.293647956,1.004806984,1.726240652
1.293752092,1.004828316,1.726565364
1.293856227,1.00484965,1.726890071
1.293960363,1.004870985,1.727214772
1.294064498,1.004892322,1.727539468
1.294168634,1.004913661,1.727864159
1.294264097,1.004928269,1.728177265
1.294359561,1.004942879,1.728490364
1.294455024,1.004957491,1.728803455
1.294550488,1.004972106,1.729116538
1.294645952,1.004994299,1.729415431
1.294741415,1.005016495,1.729714319
1.294836879,1.005038691,1.730013202
1.294932342,1.00506089,1.73031208
1.295027806,1.005083089,1.730610954
1.295123269,1.00510529,1.730909823
1.295210564,1.005121153,1.731197768
1.295297859,1.005137019,1.731485707
1.295385153,1.005152886,1.731773639
1.295472448,1.005168755,1.732061563
1.295559742,1.005191653,1.732337822
1.295647037,1.005214552,1.732614076
1.295734332,1.005237453,1.732890326
1.295821626,1.005260354,1.733166572
1.295908921,1.005283257,1.733442813
1.295996215,1.005306161,1.733719051
1.296076222,1.005323413,1.733985534
1.296156229,1.005340667,1.734252011
1.296236236,1.005357923,1.734518482
1.296316242,1.00537518,1.734784947
