Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Denmark,0,0,0,0.060663686,0.158222531,0.302808757,1.112834165,1.597350687,2.869996605,13.91816274,31.31780818,44.14560976,71.62596963,106.299538,183.1947819,214.8682729,236.9023094,210.4653426,152.5218064,79.91176251,,1351.054354,1351.27324
Djibouti,0,0,0,0.253128776,0.476333004,0.488253925,1.454696474,2.733840487,4.772690432,10.39090287,17.27974464,20.7591208,28.6023175,25.95881164,28.61740632,22.57067288,16.26777723,7.560556694,3.119456237,0.684931784,,191.2611799,191.9906417
Dominica,0,0,0,0.047923792,0.07107697,0.090150532,0.188669776,0.288461527,0.420422858,1.109206835,2.179775047,3.280280976,4.675259554,6.350498881,6.97593087,8.942169687,9.846350159,6.279554898,3.376929928,1.196439522,,55.20010105,55.31910181
Dominican Republic,0,0,0,7.087715413,14.30783517,17.45240791,30.91077011,42.27783538,68.22692148,121.7646678,205.9124269,248.4436646,344.3692046,348.4111636,382.5242799,319.5970111,279.7742558,200.0133031,92.54461582,33.22768696,,2735.450215,2756.845766
Ecuador,0,0,0,4.65247763,8.204227746,13.2332295,25.86000749,41.20643383,68.62327627,145.0153882,240.8040602,391.2000382,490.8065751,572.162726,641.0017696,690.7140866,618.6090288,512.3165423,305.1301954,60.75781898,,4817.441177,4830.297882
Egypt,0,0,0,19.22112379,26.95608567,46.91748482,98.75636719,153.6844105,286.5460978,791.2766417,1712.843384,2554.883288,3432.904835,3440.852882,2566.248725,1876.82262,1220.090981,687.43651,249.372703,67.9946111,,19186.63154,19232.80875
El Salvador,0,0,0,1.568555583,2.974662244,5.961135347,12.80151214,20.26676153,36.53802462,80.75214248,123.2266623,185.3816179,238.3514597,275.5836562,296.8794482,314.3858655,258.1388281,188.3942212,87.04261754,53.99262426,,2177.696577,2182.239795
Equatorial Guinea,0,0,0,0.538646928,0.927622091,0.919368537,2.119609654,3.205497015,4.448600541,9.074203819,15.2388861,18.65330815,24.77884377,26.95882496,26.58561641,30.50878093,25.25662507,13.51613024,6.14052855,1.525341237,,208.930165,210.396434
Eritrea,0,0,0,2.000677903,3.428590033,3.249671637,8.188334147,15.89110662,27.38670416,62.28909815,98.3393068,124.1464095,153.3221687,127.4327191,113.7105787,105.3484046,70.33948648,30.52032576,10.50564165,1.621736068,,952.2916921,957.72096
Estonia,0,0,0,0.029778967,0.021494221,0.041413432,0.127714204,0.312776652,0.359026346,2.783665424,4.002149745,6.442667489,11.19331566,16.30160737,18.10778932,21.61163389,20.62439495,12.54883195,6.857423199,1.756295544,,123.0707052,123.1219784
Ethiopia,0,0,0,24.77964835,36.17172463,30.20197262,69.89709576,123.3943385,192.9790386,415.9286666,704.2243172,920.678756,1352.699482,1425.550269,1844.24277,1892.606842,1561.653998,822.216716,357.118294,78.5804636,,11791.97302,11852.92439
Micronesia (Federated States of),0,0,0,0.084949912,0.231940793,0.415782707,0.969771509,1.510692138,3.232974503,7.316413655,12.73683916,17.40657861,19.7171509,14.60451801,11.21506762,6.97389942,5.77157871,3.676563115,1.038529815,0.207536767,,106.7938966,107.1107873
Fiji,0,0,0,0.915790725,1.621384277,2.865665164,6.983352374,17.39867648,38.21408836,73.19306252,151.1242206,229.2438495,275.8562622,272.7210833,245.6291458,175.5454203,119.256211,68.45590214,15.76249237,3.635653924,,1695.885086,1698.422261
Finland,0,0,0,0.044762171,0.097623171,0.173837685,0.790138378,1.018329839,1.504106273,7.003059836,10.44107423,15.8107205,24.46074596,38.47223942,59.26629187,59.08668609,80.49762738,69.42643726,53.10365647,25.21771422,,446.2726654,446.4150508
France,0,0,0,0.525600085,1.10835748,1.951884959,6.217311762,10.45204249,19.624259,90.39034381,153.9417226,288.1974854,479.5774337,772.0917004,1083.003225,1255.75375,2030.105227,2595.063899,2275.50093,1156.55982,,12218.43103,12220.06499
Gabon,0,0,0,0.689667878,1.274231339,1.271177853,3.284447391,5.992012691,10.43277051,25.11569242,48.05998088,64.74357489,83.2565262,80.56702653,70.19560389,70.9481835,62.54652029,37.53653908,17.63106737,4.238748806,,585.8198723,587.7837715
Georgia,0,0,0,0.115140299,0.399736431,0.382815396,1.375915108,2.213478739,4.150195231,21.76248286,46.18423251,96.8153241,170.2108331,218.2994048,206.1610502,213.9883148,174.8368494,53.42822492,32.13947125,11.81459916,,1253.763192,1254.278068
Germany,0,0,0,0.598821529,1.252161798,2.385414561,9.965867724,16.23206594,30.83515993,138.3359079,329.2528526,576.1585881,885.0827922,1218.985414,1592.998912,3055.893337,5065.683359,4409.53364,3026.5839,1347.362287,,21705.2895,21707.14048
