Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
United States of America,579.247242,61.23920387,54.66911159,79.65468036,142.6649497,232.1792879,326.6551678,421.4835942,608.827705,926.4169624,1587,2527,3595,4550,6059,7756,10765,13341,12827,10071,,75592,76510
United States Virgin Islands,0.260006383,0.023155697,0.020746948,0.029709176,0.035608005,0.043550182,0.072801463,0.125472654,0.210941349,0.380917918,0.623687071,0.927886744,1.392468129,2.304379949,3.740846746,4.193019859,3.603197926,3.169214526,2.111045156,1.020092826,,23.9195225,24.28874871
Uruguay,26.54319764,1.152293194,0.976653171,2.70594207,3.354609534,3.941230849,5.202226771,7.773546979,9.558522114,12.36015637,19.48576391,30.08041818,50.29855092,65.27764327,95.44887901,154.6631178,258.2163229,358.2745731,289.3682323,180.8551575,,1541,1576
Uzbekistan,7271,491.2647933,268.1070871,178.6146309,190.6964083,207.3299967,212.5235506,216.9929242,225.8424955,221.5077094,281.5434382,329.8499798,390.1054119,270.5281495,293.3715544,296.6501096,161.2390669,47.15502173,12.23366947,1.223179178,,3168,11568
Vanuatu,32.07302522,2.368086418,1.399871681,2.054888472,3.121028145,3.674474529,3.853267283,4.143961801,3.558970603,3.671171991,4.421969316,5.005678672,6.961885013,5.957843171,7.326546162,8.566642391,7.611299205,3.949976586,1.569235214,0.260372514,,70.53329445,111.5501944
Venezuela (Bolivarian Republic of),773.4905672,42.35569714,37.09324011,50.84627707,56.91889069,78.72525222,78.47794492,100.5565951,119.4599398,141.5682265,175.6968812,211.2209029,257.7560848,304.7801275,362.6608577,468.145629,568.4903613,498.9872478,429.8213872,396.8419317,,4193,5154
Viet Nam,2891,73.0423265,48.4133964,91.32059173,147.5434672,168.5245898,214.854643,267.0518771,302.7037838,411.5989906,614.9936142,836.6503919,1295,1433,1684,2347,3382,3109,1517,625.8918265,,18209,21460
Yemen,3276,183.8518684,111.9722965,57.19209455,65.73399017,82.3190106,99.21209362,115.4852625,122.4405032,113.1610295,126.6584861,159.6458444,233.4130949,257.7339515,349.0239427,365.5064406,340.6139958,247.6234534,113.3493116,40.54871823,,2767,6461
Zambia,4065,198.0964278,112.2951684,121.5596889,135.158398,142.3867969,136.6832466,155.48149,192.5250069,212.3049928,240.3911272,274.9557938,337.5175017,372.6970906,451.3599246,501.2947658,432.234771,263.8785181,111.1433472,37.10018718,,3862,8494
Zimbabwe,4865,141.9007628,91.79584323,151.537866,180.4153711,187.0869648,224.1713172,299.7287292,375.1085679,451.5347188,603.8838907,709.2502598,943.0265761,870.529862,803.5100374,730.7319362,654.2409315,423.1965264,196.4380232,58.07815519,,7531,12961
