25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.035730703,1.00065961,1.104577994,1.033713648,1.000627079,1.097684851,1.031674853,1.000574073,1.091141494,1.02955685,1.000534833,1.084621074,1.027426389,1.000459852,1.081101736,1.024974431,1.000396943,1.072921424,1.023145283,1.000432434,1.067929052,1.02067429,1.000404267,1.060363308,1.018530595,1.000335779,1.053024607,1.016729279,1.000283794,1.048363737,1.014477295,1.000283117,1.041505849,1.012455746,1.000233855,1.036759791,1.010329843,1.000195993,1.029317012,1.008238006,1.000144698,1.024142478,1.006206219,1.00009336,1.017359944
1.037813376,1.002150485,1.107722914,1.035686302,1.002027451,1.10065555,1.033521671,1.00191948,1.093680231,1.031277123,1.001833434,1.087428253,1.029021719,1.001653669,1.083867978,1.026430395,1.001472917,1.075355143,1.024490516,1.001334248,1.070037346,1.021873901,1.001234192,1.062157922,1.019610834,1.001101676,1.054664323,1.017702344,1.000955365,1.049705619,1.015318372,1.000868035,1.042728196,1.01317625,1.000721667,1.037955875,1.010930231,1.000612293,1.030249118,1.008713329,1.000485063,1.025028459,1.006565688,1.00037768,1.017878762
1.039920436,1.003761198,1.111462376,1.037682083,1.003610796,1.103617119,1.035389309,1.003417765,1.096204723,1.033015513,1.003218361,1.090228504,1.030635408,1.002889622,1.086352637,1.027902742,1.002742089,1.077691752,1.025850939,1.002224133,1.072231473,1.023087078,1.002304493,1.063950004,1.020703016,1.002051213,1.056305379,1.018686288,1.001810029,1.051138545,1.016168442,1.001612641,1.043944523,1.013904555,1.001381448,1.039102713,1.011536743,1.001154992,1.031175254,1.009193353,1.000895935,1.025845643,1.006928762,1.000631577,1.018395961
1.042030978,1.005062973,1.114706498,1.039680909,1.004717423,1.106523199,1.037259489,1.004408366,1.098715232,1.034756083,1.004052661,1.093320232,1.032250897,1.003555189,1.088828661,1.029376552,1.003502607,1.079737602,1.027212512,1.003189533,1.074286856,1.024301106,1.002945794,1.065788933,1.021795836,1.002727979,1.057944319,1.019670645,1.002317387,1.052605854,1.017018774,1.002051551,1.045349894,1.014632983,1.001842291,1.040236812,1.012143299,1.001557946,1.032093361,1.009673345,1.001149483,1.026571284,1.007291754,1.000863463,1.018914035
1.044145077,1.005871983,1.117828325,1.04168285,1.005527602,1.109521337,1.039132277,1.004997134,1.101614018,1.036498895,1.004601233,1.096434981,1.033868242,1.004602365,1.091301479,1.030851877,1.004206743,1.081775768,1.028575287,1.003697493,1.076326018,1.025516031,1.003333576,1.067738096,1.022889334,1.003217963,1.059581034,1.020655452,1.002652719,1.054500031,1.0178694,1.002372879,1.046885373,1.01536156,1.002094255,1.04136315,1.012749921,1.001758353,1.033005667,1.010153322,1.001422607,1.02728793,1.007654679,1.000999807,1.019440689
1.046262807,1.006891225,1.12212796,1.043687978,1.006114369,1.112645229,1.041007738,1.005901807,1.104556957,1.038244009,1.005477318,1.09912365,1.035487502,1.005380737,1.093772191,1.03232877,1.004791078,1.083806434,1.02993931,1.00425305,1.078358768,1.026731897,1.004004113,1.069513995,1.023983551,1.003603888,1.061209371,1.021640745,1.003126829,1.056518327,1.018720351,1.002725238,1.048458663,1.016090315,1.002431969,1.042721196,1.013356634,1.001990456,1.033978418,1.010633304,1.001689112,1.027996034,1.008017551,1.001138321,1.020049244
1.048384239,1.007762149,1.12657475,1.04569636,1.006853672,1.115995665,1.042885935,1.006675027,1.10784674,1.039991485,1.006006328,1.101751105,1.03710873,1.006094416,1.096357295,1.033807282,1.00567636,1.086030958,1.03130463,1.005126579,1.080385212,1.027948745,1.004329213,1.071344825,1.025078524,1.003998325,1.062835779,1.022626558,1.003599194,1.058106927,1.019571659,1.00310097,1.049761887,1.016819273,1.002751505,1.043805367,1.013963458,1.002223898,1.035059853,1.011113307,1.001928993,1.028701248,1.008380383,1.001280233,1.020651818
1.050509445,1.008640702,1.130148175,1.047708063,1.007464067,1.119355766,1.044766931,1.007419475,1.111326517,1.041741382,1.006635799,1.104671671,1.038731981,1.006809334,1.098983859,1.035287462,1.006322993,1.088302542,1.032671292,1.005399699,1.082405453,1.029166619,1.0050849,1.073176225,1.02617429,1.004497177,1.064460286,1.023612926,1.004115868,1.059661295,1.020423351,1.003603051,1.051228305,1.017548461,1.003035741,1.044878805,1.014570417,1.002583031,1.036019513,1.011593351,1.002147325,1.02940361,1.008743189,1.001478119,1.021249714
1.052638493,1.009205583,1.133460751,1.049723153,1.008439967,1.122228857,1.046650786,1.008194908,1.114799515,1.043493757,1.00731692,1.107712693,1.040357309,1.007272993,1.101452218,1.03676936,1.007011308,1.090669361,1.034039342,1.006061856,1.084419593,1.03038556,1.005611312,1.074970313,1.027270888,1.005007319,1.06608292,1.024599883,1.004396218,1.061202086,1.021275459,1.003985878,1.052682892,1.018277904,1.003424948,1.045944687,1.01517753,1.002789209,1.036871831,1.012073451,1.002275732,1.030103155,1.009105982,1.001654792,1.021879211
1.054771453,1.010027596,1.136735788,1.051741696,1.009249321,1.126046751,1.04853756,1.008976171,1.118200519,1.045248668,1.00832568,1.110732643,1.041984766,1.008119815,1.103873669,1.038253023,1.007475935,1.092796815,1.035408824,1.006740999,1.086427733,1.031605606,1.006156242,1.076740433,1.028368353,1.005543022,1.067799885,1.025587462,1.004744863,1.06273714,1.02212801,1.004333771,1.054018928,1.019007627,1.003842249,1.047007897,1.015784818,1.003115245,1.037714634,1.012553624,1.002447835,1.030799917,1.009468775,1.001776976,1.022531132
