Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Cook Islands,0.051092038,0.053893987,0.074157479,0.108993026,0.16012456,0.246475612,0.387160348,0.392388013,0.550214674,0.570698018,1.004198992,1.112056391,1.016297333,0.700235421,0.203362935,,0.067899165,0.181546242,6.631348827,6.812895069
Costa Rica,4.027243756,5.742071917,6.757421666,9.488533786,13.51201847,20.10826197,23.81766495,27.51834773,27.85669885,32.22001998,51.00929913,63.00388416,70.90499741,50.794195,49.19468085,,24.84363579,31.54064819,455.9553396,487.4959878
Cote d'Ivoire,124.1568562,132.6446652,160.8386008,173.4560591,219.3971591,275.4343181,359.0527998,420.8994858,493.3899797,588.4703189,641.3617067,611.2716284,332.6742767,139.1918868,46.61241713,,6907.636383,7359.81228,4718.852159,12078.66444
Croatia,0.548315971,0.993730821,1.459459307,2.205117299,3.222554433,5.551624235,11.62158083,20.24748853,26.63306365,31.03231059,59.9499865,89.53200122,94.33320167,52.66607095,13.61312162,,2.174205873,3.390290862,413.6096276,416.9999185
Cuba,7.448102537,10.63324514,13.00987098,29.94564345,60.3222696,103.0070968,149.6241365,217.7307038,319.2665904,521.0127571,786.0044568,987.9037923,1037.619781,831.3968222,619.7674544,,48.32478443,60.85821891,5694.692723,5755.550942
Cyprus,0.205578004,0.242447911,0.426396256,0.757520734,0.882201903,1.393766361,1.988920578,3.165848679,4.878385419,7.975401582,14.14141199,26.22275404,32.86375596,15.70589998,4.501742367,,0.549955181,0.796369677,115.3520318,116.1484015
Czechia,6.073760453,8.604508926,15.52136794,24.27179639,29.89032226,50.23933916,76.38375138,131.032231,208.4727245,289.3441569,339.7382103,480.85105,557.3391496,364.8611633,143.7668977,,14.14971046,24.50792917,2726.39043,2750.898359
Democratic People's Republic of Korea,28.39061236,25.25019864,30.17796787,45.35363623,87.11990775,129.6961893,173.110373,236.9385875,281.1152801,545.2353488,728.1944004,817.6516411,580.5608388,310.2536401,101.9694856,,489.3862081,585.1990101,4121.018108,4706.217118
Democratic Republic of the Congo,433.2579989,446.1656122,507.6803578,634.8284071,802.722012,1190.32385,1440.438028,1792.193248,1757.373615,1946.649626,2014.928479,1899.498496,1232.769916,518.3646199,190.3722426,,10572.53166,12422.63968,16807.56651,29230.20619
Denmark,0.741753783,1.06850923,1.493523355,3.162043504,4.998027231,9.314551738,18.83459598,31.54292438,55.28499083,108.8850191,171.0062232,305.1952654,423.2628637,429.922351,300.0936588,,2.676154029,4.076699191,1864.806301,1868.883
